Type,R,G,B
Acrisols,247,153,29
Albeluvisols,155,157,87
Alisols,250,247,192
Andosols,237,58,51
Arenosols,247,216,172
Calcisols,255,238,0
Cambisols,254,205,103
Chernozems,226,200,55
Cryosols,117,106,146
Durisols,239,230,191
Ferrasols,246,135,45
Fluvisols,1,176,239
Gleysols,146,145,185
Gypsisols,251,246,165
Histosols,139,137,138
Kastanozems,201,149,128
Leptosols,213,214,216
Lixisols,249,189,191
Luvisols,244,131,133
Nitisols,247,160,130
Phaeozems,186,104,80
Planosols,245,147,84
Plinthosols,111,14,65
Podzols,13,175,99
Regosols,255,226,174
Solonchaks,237,57,148
Solonetz,244,205,226
Stagnosols,64,193,235
Umbrisols,97,143,130
Vertisols,158,86,124
None,0,0,0
