Koppen,Soil,Vegetation,Count,Average
Dfa,Ferrasols,desert,1,0
Dfc,Kastanozems,graminoid and forb tundra,13,0
Dwb,Luvisols,warm-temperate evergreen broadleaf and mixed forest,1270,1.9748031496062992
Cfa,Kastanozems,tropical grassland,3789,20.506202164159408
ET,Andosols,low and high shrub tundra,214,0
BSh,Acrisols,tropical xerophytic shrubland,227,6.079295154185022
BWh,Fluvisols,tropical xerophytic shrubland,2948,21.297150610583447
Cfa,Kastanozems,cold evergreen needleleaf forest,1,350
Dwb,Nitisols,cold deciduous forest,3,0
Csa,Arenosols,tropical xerophytic shrubland,17,15.176470588235293
BSh,Durisols,desert,195,64.36923076923077
Csb,Fluvisols,temperate deciduous broadleaf forest,120,62.625
BSh,Acrisols,tropical grassland,1881,40.19032429558745
Af,Albeluvisols,tropical savanna,162,28.037037037037038
EF,Histosols,desert,1,0
Dsc,Kastanozems,warm-temperate evergreen broadleaf and mixed forest,1,0
Am,Solonchaks,tropical evergreen broadleaf forest,27,281.77777777777777
ET,Albeluvisols,tropical grassland,6,0
Csb,Alisols,tropical semi-evergreen broadleaf forest,13,240.92307692307693
Dfa,Calcisols,temperate deciduous broadleaf forest,114,83.84210526315789
Cfb,Leptosols,cool mixed forest,641,219.78471138845555
Csa,Ferrasols,warm-temperate evergreen broadleaf and mixed forest,816,107.99754901960785
Dfb,Luvisols,warm-temperate evergreen broadleaf and mixed forest,6,22
Csb,Gleysols,wet sclerophyll forest,10,0
BSk,Arenosols,tropical xerophytic shrubland,956,20.54602510460251
ET,Gleysols,graminoid and forb tundra,2854,0.19166082690960057
Dsa,Luvisols,tropical grassland,195,17.31282051282051
Dfc,Cambisols,desert,2,0.5
BSk,Podzols,tropical xerophytic shrubland,1187,11.903117101937658
ET,Cambisols,cool mixed forest,1028,1.0680933852140078
Cfa,Albeluvisols,warm-temperate evergreen broadleaf and mixed forest,9723,117.66152422091947
Dsc,Ferrasols,tropical grassland,125,3.632
BSk,Cryosols,tropical grassland,14251,21.003648866746193
EF,Phaeozems,tropical grassland,1,0
Dwd,Leptosols,low and high shrub tundra,74,0
Dsc,Durisols,tropical xerophytic shrubland,1,0
Af,Durisols,tropical savanna,593,11.581787521079258
BSk,Planosols,warm-temperate evergreen broadleaf and mixed forest,229,128.3187772925764
Cfa,Phaeozems,temperate deciduous broadleaf forest,1084,69.74354243542436
Cfc,Andosols,warm-temperate evergreen broadleaf and mixed forest,34,0.2647058823529412
BWk,Umbrisols,desert,8,5.375
BWh,Podzols,temperate sclerophyll woodland and shrubland,3,0
BWh,Kastanozems,desert,5364,8.97930648769575
Dfc,Albeluvisols,erect dwarf-shrub tundra,2,0
BSk,Fluvisols,temperate sclerophyll woodland and shrubland,323,11.23219814241486
Cfa,Plinthosols,tropical deciduous broadleaf forest and woodland,14,0.21428571428571427
Cwa,Luvisols,warm-temperate evergreen broadleaf and mixed forest,3465,56.641558441558445
Dfa,Luvisols,tropical grassland,1280,55.634375
Am,Umbrisols,tropical deciduous broadleaf forest and woodland,108,68.81481481481481
Cwb,Plinthosols,tropical grassland,133,76.18045112781955
BWh,Phaeozems,temperate sclerophyll woodland and shrubland,8,0
Cfa,Luvisols,warm-temperate evergreen broadleaf and mixed forest,33350,92.54413793103448
Csb,Chernozems,temperate deciduous broadleaf forest,295,77.46101694915254
Dfa,Solonetz,temperate deciduous broadleaf forest,11,72.36363636363636
Csa,Fluvisols,tropical grassland,468,65.38247863247864
BWh,Durisols,desert,2250,27.043555555555557
BWh,Leptosols,tropical xerophytic shrubland,7802,5.8649064342476285
Cfb,Chernozems,temperate evergreen needleleaf open woodland,12,101.25
BWh,Stagnosols,desert,23,0.30434782608695654
Aw,Lixisols,warm-temperate evergreen broadleaf and mixed forest,1131,41.57029177718833
Am,Cryosols,tropical grassland,85,59.6
Af,Histosols,tropical semi-evergreen broadleaf forest,8,0
Cfc,Chernozems,wet sclerophyll forest,202,0.15841584158415842
Cwc,Cambisols,temperate sclerophyll woodland and shrubland,2,0
Dfa,Durisols,warm-temperate evergreen broadleaf and mixed forest,6,45.5
BSh,Calcisols,tropical grassland,7375,27.66142372881356
ET,Cambisols,cold deciduous forest,8651,0.12634377528609408
Dsc,Phaeozems,temperate evergreen needleleaf open woodland,40,0
Dfd,Nitisols,low and high shrub tundra,11,0
Aw,Acrisols,tropical semi-evergreen broadleaf forest,20268,44.72552792579435
Csb,Andosols,tropical savanna,1,93
Af,Leptosols,tropical semi-evergreen broadleaf forest,1,0
ET,Cambisols,graminoid and forb tundra,100544,0.005142027371101209
Dsb,Cryosols,temperate deciduous broadleaf forest,819,10.542124542124542
Dsb,Plinthosols,cold evergreen needleleaf forest,8,0
Dfb,Plinthosols,cool evergreen needleleaf forest,64,1.734375
BWk,Luvisols,temperate evergreen needleleaf open woodland,1973,1.994931576279777
ET,Regosols,tropical xerophytic shrubland,6,0
Dsc,Planosols,cool evergreen needleleaf forest,78,9.820512820512821
Am,Kastanozems,tropical deciduous broadleaf forest and woodland,134,73.14925373134328
Cfa,Durisols,temperate deciduous broadleaf forest,748,192.99866310160428
Csc,Plinthosols,wet sclerophyll forest,14,0
ET,Arenosols,wet sclerophyll forest,1371,0.08825674690007294
Cfb,Cambisols,low and high shrub tundra,1,7
Dwb,Kastanozems,cold deciduous forest,22,0
Dsc,Fluvisols,cool evergreen needleleaf forest,44,0.045454545454545456
BWk,Gypsisols,tropical grassland,11609,3.528038590748557
Dfb,Durisols,warm-temperate evergreen broadleaf and mixed forest,22,64.45454545454545
Csb,Ferrasols,temperate sclerophyll woodland and shrubland,314,44.98726114649681
BSk,Luvisols,cool evergreen needleleaf forest,90,18.27777777777778
Aw,Stagnosols,tropical grassland,638,18.973354231974923
Csc,Histosols,wet sclerophyll forest,10,0
Csa,Phaeozems,tropical xerophytic shrubland,804,101.1542288557214
Cfc,Lixisols,wet sclerophyll forest,76,0
BSh,Phaeozems,desert,184,20.695652173913043
Af,Gypsisols,tropical savanna,88,34.73863636363637
Cwa,Luvisols,tropical xerophytic shrubland,4681,81.4535355693228
Dsa,Gypsisols,temperate evergreen needleleaf open woodland,9,85.11111111111111
