Latitude,Longitude
40.821,14.426
38.789,15.213
36.586,27.16
38.531,35.447
38.654,42.229
39.7,44.3
43.351,42.442
42.7,44.5
40.028,45.74
15.55,41.83
13.579,41.809
13.37,41.7
12.595,40.48
8.975,39.93
7.77,38.78
14.52,120.47
50.686,156.014
15.13,120.35
50.861,155.565
51.306,156.875
51.356,156.753
18.222,122.123
18.83,121.86
20.469,122.01
20.92,95.25
24.841,121.953
35.141,132.622
35.361,138.728
36.155,136.771
36.571,137.59
36.891,138.114
36.477,138.851
36.955,139.285
36.765,139.491
36.9,139.777
37.601,140.072
38.961,140.788
39.958,140.854
39.964,140.757
40.656,140.303
41.279,141.12
34.724,139.394
34.52,139.279
34.094,139.526
33.874,139.602
32.458,139.759
51.533,156.629
30.484,140.303
25.424,141.284
20.546,144.893
19.671,145.406
18.77,145.67
17.6,145.83
17.307,145.845
16.35,145.67
41.51,139.367
42.063,140.677
42.544,140.839
42.827,140.812
45.179,141.242
44.076,145.122
44.133,145.161
43.979,145.733
44.353,146.252
44.608,146.994
44.808,147.131
45.1,148.019
45.389,148.838
46.042,150.083
46.815,151.786
47.02,152.12
47.35,152.475
47.77,153.02
48.092,153.2
48.292,153.25
48.98,153.48
48.958,153.93
48.873,154.182
49.12,154.508
49.35,154.7
50.267,155.246
51.498,157.203
51.577,157.328
2.63,36.6
-0.914,36.446
-2.764,35.914
-3.25,36.75
-9.135,33.668
-9.229,33.792
-1.52,29.25
-1.506,29.45
-1.458,29.485
4.203,9.17
35.951,52.109
51.844,157.572
58.13,160.82
58.18,160.82
-7.733,112.575
41.98,128.08
37.5,130.87
52.103,177.602
51.95,178.543
51.93,179.58
51.79,-178.794
51.873,-178.006
51.923,-177.168
51.944,-176.747
52.076,-176.13
52.177,-175.508
52.22,-175.13
52.5,-171.252
52.894,-170.054
52.825,-169.944
52.974,-169.72
53.13,-168.693
53.891,-166.923
54.134,-165.986
54.65,-164.43
54.756,-163.97
54.8,-163.589
55.424,-163.149
55.417,-161.894
55.641,-161.214
56.011,-159.797
56.17,-159.38
56.552,-158.785
57.019,-157.185
57.135,-156.99
57.751,-156.368
58.172,-155.361
58.195,-155.253
58.236,-155.1
58.28,-154.963
58.354,-155.092
-38.72,77.53
-53.106,73.513
-39.3,174.07
-39.28,175.57
-29.27,-177.92
-19.668,-175.016
-18.806,-174.65
-18.023,-174.317
-3.613,144.818
-4.08,145.037
-4.649,145.964
-5.519,148.115
-5.33,151.1
-5.2,151.23
-5.05,151.33
-8.95,148.15
-8.108,112.922
-7.979,113.342
-8.119,114.056
-8.343,115.508
-8.42,116.47
-8.25,118
-8.875,120.95
-8.82,121.18
-8.897,121.645
-8.32,121.708
-8.676,122.455
-8.342,123.258
-8.272,123.505
-7.791,123.585
-6.642,126.65
-7.125,128.675
-6.976,129.144
-6.73,129.5
-6.312,130.017
-0.162,121.601
1.112,124.737
1.352,124.865
1.518,125.185
2.3,125.37
2.781,125.407
3.689,125.447
1.488,127.63
1.38,127.53
0.32,127.4
6.113,124.892
6.37,125.07
7.382,126.047
7.647,124.32
7.7,124.5
10.412,123.132
10.285,125.218
13.257,123.685
13.658,123.38
14.12,121.3
52.7,158.28
-9.2,149.07
53.321,158.712
53.256,158.836
53.905,158.07
54.049,159.443
54.528,159.804
54.753,160.533
55.033,160.725
55.064,160.765
55.131,160.32
55.972,160.595
56.056,160.642
56.653,161.36
54.761,157.407
55.678,157.718
56.656,159.647
57.33,160.2
-4.08,153.65
-9.13,159.82
-10.386,165.804
-14.27,167.5
-16.507,168.346
-18.754,169.238
-19.532,169.447
-22.33,171.32
-22.4,172.05
12.278,93.858
5.448,95.658
4.769,96.821
3.17,98.392
0.686,99.539
-0.979,100.681
-1.697,101.264
-2.414,101.728
-3.522,102.615
-6.72,106.73
-6.77,107.6
-7.25,108.058
-6.892,108.4
-7.242,109.208
-7.3,109.992
-7.384,110.07
-7.454,110.44
-7.54,110.446
-6.62,110.88
-7.625,111.192
-7.93,112.308
58.77,-153.672
60.032,-153.09
60.485,-152.742
61.299,-152.251
61.64,-152.411
61.38,-141.75
57.72,-130.63
49.85,-123
48.112,-121.113
46.853,-121.76
46.206,-121.49
46.2,-122.18
45.374,-121.695
44.674,-121.8
43.979,-121.688
41.409,-122.193
40.492,-121.508
16.72,-62.18
16.044,-61.664
15.255,-61.341
14.809,-61.165
13.33,-61.18
64.8,-23.783
63.633,-19.633
63.892,-19.122
63.983,-19.666
64.633,-17.516
64.653,-16.647
65.033,-16.783
65.416,-16.666
64.05,-16.633
71.087,-8.146
38.6,-28.73
38.47,-28.4
39.02,-27.97
37.87,-25.78
37.77,-25.47
37.77,-25.32
28.271,-16.641
14.95,-24.35
-37.42,-12.48
-66.78,163.25
-72.67,165.5
-74.35,164.7
-77.53,167.17
-62.1,-57.93
-59.017,-26.533
-57.8,-26.483
-57.08,-26.67
-56.3,-27.57
12.423,-86.539
11.538,-85.622
10.748,-85.153
10.463,-84.703
10.2,-84.233
9.979,-83.852
10.025,-83.767
8.808,-82.543
5.203,-75.363
5.091,-75.293
4.892,-75.324
4.658,-75.33
4.487,-75.389
2.93,-76.03
1.5,-76.936
1.08,-77.68
0.95,-77.87
0.552,-77.58
0.468,-78.287
-0.077,-77.656
-0.171,-78.598
-0.353,-78.617
-0.481,-78.141
-0.53,-78
-0.677,-78.436
-1.464,-78.815
-1.467,-78.442
-2.005,-78.341
-16.294,-71.409
-16.355,-70.903
-16.608,-70.85
-18.166,-69.142
-18.42,-69.092
-19.15,-68.83
